candidate	relevant_yn	sentiment	sentiment_confidence	subject_matter	retweet_count	text	tweet_created	tweet_location	user_timezone
Scott Walker	yes	Negative	1	Abortion	19	RT @TheBaxterBean: Scott Walker's Abortion Ban Allows Rapist Father To Sue For Emotional Distress http://t.co/rHMvgumuir #GOPDebate @Badger__	8/7/15 9:54	USA 	
No candidate mentioned	yes	Negative	0.3401		156	"RT @feministabulous: It's not a competition, but how have we moved so far on gay rights but women's rights is worse than it's ever been? #G__"	8/7/15 9:54		Eastern Time (US & Canada)
Donald Trump	yes	Negative	1	None of the above	2	RT @mch7576: RT _@TeaTraitors: #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP. http://t.co/pRy2QPCWfu_ѝ_ѝ	8/7/15 9:54	Cleveland Texas	Central Time (US & Canada)
No candidate mentioned	yes	Negative	0.3295	None of the above	4965	RT @HillaryClinton: Watch the #GOPdebate? Bet you feel like donating to a Democrat right about now. http://t.co/pGlQCqQgOP http://t.co/QP1e__	8/7/15 9:54	EveryWhere	Eastern Time (US & Canada)
No candidate mentioned	yes	Negative	1	None of the above	0	@fbhw they're going to need to borrow the train horn for the next #GOPDebate ! The little bell was wimpy! #hornmeansyouredone	8/7/15 9:54	"Green Bay, WI"	
Ted Cruz	yes	Negative	0.6458	None of the above	14	RT @LisaVikingstad: Ted Cruz at the #GOPDebate will be like Ted Cruz in bed. He will keep a confusingly sad look on his face and refuse to __	8/7/15 9:54		Atlantic Time (Canada)
No candidate mentioned	yes	Neutral	0.6629	None of the above	0	The First #GOPDebate: Social Media Reaction and More http://t.co/X6KUVSkltF	8/7/15 9:54	European Union	Bratislava
No candidate mentioned	yes	Neutral	1	None of the above	0	#SocialMedia: The First #GOPDebate: Social Media Reaction and More http://t.co/ogoYfNyiKj	8/7/15 9:54	Canada	Eastern Time (US & Canada)
No candidate mentioned	yes	Negative	0.6576	FOX News or Moderators	0	RT WinesdayPodcast : An update on FoxNews tech failures for the #GOPDebate http://t.co/FGGlf2J5HU http://t.co/Zw35DkUozi	8/7/15 9:54	News about tech and more!	Pacific Time (US & Canada)
No candidate mentioned	yes	Negative	0.6393	FOX News or Moderators	216	"RT @AmyMek: The Torched has been passed -&gt;.@CandyCrowley is no longer the most Famous Political Assassin! Congratulations @megynkelly, U Wi__"	8/7/15 9:54	United States of America	Mazatlan
	yes	Negative	0.3402	None of the above	2		8/7/15 9:54		
Jeb Bush	yes	Negative	1	None of the above	3427	"RT @kvxrdashian: Jeb Bush: ""Obama is at fault, not my brother, because Obama didn't clean up the mess my brother made."" #GOPDebate http://t__"	8/7/15 9:54		
No candidate mentioned	yes	Negative	1	None of the above	3	"RT @ali: After the Fox News #GOPDebate, we primary voters are none the wiser on the policy plans these folks are putting forth. Journalism __"	8/7/15 9:54	Arizona	Arizona
No candidate mentioned	yes	Neutral	0.6632	None of the above	12	RT @itsashlyperez: listening to fetty wap while packing because i'm a true american #GOPDebate #doesthishashtagexpire?	8/7/15 9:54		
Donald Trump	yes	Negative	0.6559	None of the above	4	RT @mgell: Trump is a cross between the shrug emoji and President Business from the Lego movie. #GOPDebate	8/7/15 9:54	"Chicago, IL"	Central Time (US & Canada)
No candidate mentioned	yes	Negative	0.6596	None of the above	4006	"RT @JamelleMyBelle: Meanwhile, in the White House...  #GOPDebate http://t.co/nouUUt5hKq"	8/7/15 9:54		Eastern Time (US & Canada)
No candidate mentioned	yes	Neutral	0.3261	None of the above	50	"RT @RowdyGentleman: If you_re planning out a #GOPDebate drinking game right now, you_re a Rowdy Gentleman."	8/7/15 9:54		Arizona
No candidate mentioned	yes	Negative	0.6869	Racial issues	450	RT @brownblaze: PLEASE RT. #KKKorGOP #GOPDebate http://t.co/YaqYAC3uV3	8/7/15 9:54	Tac	Pacific Time (US & Canada)
Donald Trump	yes	Negative	1	Women's Issues (not abortion though)	0	"Trump thinks criticism of his misogynistic remarks is a ""political correctness"" problem. Nope, it's a pervasive #sexism problem. #GOPDebate"	8/7/15 9:54	"Washington, DC"	Atlantic Time (Canada)
No candidate mentioned	yes	Negative	0.6591	Racial issues	4416		8/7/15 9:54		Central Time (US & Canada)
Donald Trump	yes	Neutral	0.3407	FOX News or Moderators	6	RT @palmaceiahome1: The goal of #FoxNews last night was to take out Trump and pave the way for a RINO like Bush or Kasich. #GOPDebate	8/7/15 9:54		
Donald Trump	yes	Neutral	0.6524	Jobs and Economy	189	RT @philstockworld: From our Live Chat Room: #GOPDebate #Trump #Futures $SPY #NonFarmPayrolls #Jobs #Netflix -- http://t.co/0K06Sf81rq http__	8/7/15 9:54	California	
Donald Trump	yes	Positive	0.6353	FOX News or Moderators	0	_@DanScavino: #GOPDebate w/ @realDonaldTrump delivered the highest ratings in the history of presidential debates. #Trump2016 Fox say thanks	8/7/15 9:54		
Mike Huckabee	yes	Negative	0.6458	None of the above	0	"RT @gov: Most-Tweeted @GovMikeHuckabee #GOPDebate moment: saying purpose of military ""to kill people/break things"" re trans servicemembers"	8/7/15 9:54	"Richmond, VA"	Eastern Time (US & Canada)
No candidate mentioned	yes	Neutral	0.6327	None of the above	12	RT @ariannahuff: The best and worst from the #GOPDebate http://t.co/YkI30j7hhO	8/7/15 9:54	Fort Worth	New Delhi
Rand Paul	yes	Positive	0.6397	Women's Issues (not abortion though)	78	"RT @megynkelly: .@ChrisStirewalt: Big moments were @RandPaul vs. @ChrisChristie, and @realDonaldTrump reaction to women question. #KellyFil__"	8/7/15 9:54	U.S. city with the most Cubans	Atlantic Time (Canada)
No candidate mentioned	yes	Negative	1	Women's Issues (not abortion though)	4	"RT @STYLEMOM: Here's a question, WHY in the hell are WOMEN &amp; our body parts even in this debate? Foh, stop it, it's not 1965 wtf #GOPDebate__"	8/7/15 9:54	"Denver, CO"	Central Time (US & Canada)
Donald Trump	yes	Negative	0.6633	FOX News or Moderators	0	@rushlimbaugh Americans getting beheaded overseas and @megynkelly is worried whether @realDonaldTrump calls Rosie O'Donnell fat? #GOPDebate	8/7/15 9:54	Los Angeles	Pacific Time (US & Canada)
No candidate mentioned	yes	Negative	0.6957	FOX News or Moderators	5	"RT @ChuckNellis: I won't defend @FoxNews, they were FAR from fair OR balanced last night, but name calling is juvenile. #GOPDebate"	8/7/15 9:54	"Houston, TX"	Central Time (US & Canada)
No candidate mentioned	yes	Negative	1	Religion	5	"RT @theskysgoneout: To non-Christians, #GOPDebate ""God"" questions underline how little anyone really cares about religious minorities. Chri__"	8/7/15 9:54	Midgard	Mountain Time (US & Canada)
No candidate mentioned	yes	Negative	1	Racial issues	105	RT @Bipartisanism: The #GOPDebate response to #BlackLivesMatter was pathetic. http://t.co/isMXbrRM0h	8/7/15 9:54	U.S.A	Central Time (US & Canada)
No candidate mentioned	yes	Negative	0.6611	FOX News or Moderators	23	RT @factcheckdotorg: .@JebBush said he cut FL taxes by $19B. But that includes cuts in estate taxes mandated by federal law. #GOPDebate. ht__	8/7/15 9:54	"Rhinebeck, NY"	
No candidate mentioned	yes	Negative	0.6667	Abortion	230		8/7/15 9:54	NW Florida	Central Time (US & Canada)
Ted Cruz	yes	Positive	0.3659	Foreign Policy	123		8/7/15 9:54		
No candidate mentioned	yes	Negative	0.6702	None of the above	83	RT @P0TUS: #GOPDebate closing statements: http://t.co/S15NLilLso	8/7/15 9:54	Delaware	Eastern Time (US & Canada)
No candidate mentioned	yes	Negative	1	FOX News or Moderators	154		8/7/15 9:54	"Florida,, usually"	Eastern Time (US & Canada)
Donald Trump	yes	Positive	0.6693	None of the above	18		8/7/15 9:54	 NYC	Eastern Time (US & Canada)
No candidate mentioned	yes	Positive	0.7065	None of the above	23		8/7/15 9:54	San Diego	Pacific Time (US & Canada)
No candidate mentioned	yes	Negative	1	Foreign Policy	135	RT @TheJimHughes: If we want to stop sending foreign aid to places that burn our flag can we start with Berkeley? #GOPDebate	8/7/15 9:54		
Rand Paul	yes	Neutral	0.6559	None of the above	1322	RT @frankthorpNBC: The Rand Paul eye roll to Chris Christie at the #GOPDebate https://t.co/hf318QSoWD	8/7/15 9:54	"Seattle, WA"	Pacific Time (US & Canada)
John Kasich	yes	Neutral	1	Foreign Policy	45	RT @JohnKasich: Scrap the President's Iran deal. Iran can_t get a nuke. #Kasich4Us #GOPDebate http://t.co/9TrZxOnLZF	8/7/15 9:54		Central Time (US & Canada)
No candidate mentioned	yes	Neutral	0.6983	None of the above	0	Trying to decide if it's too early to come back to Twitter fulltime. Was gonna wait closer to election but the #GOPDebate may have me hooked	8/7/15 9:54		Mountain Time (US & Canada)
Donald Trump	yes	Positive	0.3508	None of the above	484		8/7/15 9:54	"Oxnerd, California"	Arizona
Donald Trump	yes	Negative	1	None of the above	54	"RT @Bipartisanism: Those saying ""don't worry, Trump will NEVER be elected"" need to remember we elected George Bush. Twice. #GOPDebate http:__"	8/7/15 9:54	Vatican City	
Donald Trump	yes	Negative	1	FOX News or Moderators	0	"Fox News Had Its Own #GOPDebate Agenda: Promote Carly ""never mention fired from HP"" Fiorina, &amp; run Trump out of race http://t.co/9k1eujdFo7"	8/7/15 9:54	"Pittsburgh, PA"	Eastern Time (US & Canada)
No candidate mentioned	yes	Negative	0.6667	Jobs and Economy	11	"RT @HlLLARY: Oh, one more thing. Did anyone hear anything about affordable child care for working families last night in the #GOPDebate ? I__"	8/7/15 9:54		
Jeb Bush	yes	Negative	0.6667	Foreign Policy	4	"RT @NaughtyBeyotch: RT @AllenWestRepub ""Dear @JebBush #GOPDebate #NotAMistake http://t.co/WQnSuPSPkC"""	8/7/15 9:54	TEXAS is the greatest state	Central Time (US & Canada)
No candidate mentioned	yes	Positive	0.337	None of the above	0	@marthamaccallum @billhemmer #gopdebate Bill and Martha were the A Team in the first debate. 2nd debate was an ambush.	8/7/15 9:54	"Illinois, SW of Chicago"	Central Time (US & Canada)
Donald Trump	yes	Negative	1	FOX News or Moderators	0	"The Country's going to hell and Megyn Kelly on #FoxNews is attacking Trump for a ""war on women?"" #GOPDebate"	8/7/15 9:54		Quito
No candidate mentioned	yes	Positive	0.6735	Religion	233	"RT @Franklin_Graham: 1st #GOPDebate--Encouraging to see several candidates express their faith in God and His Son, Jesus Christ. http://t.c__"	8/7/15 9:54	"Walland, Tn"	Eastern Time (US & Canada)
Donald Trump	yes	Negative	0.6333		5	"RT @SnarkyDemo: #DonaldTrump said he_s not _politically correct._ѝ  Which, of course, is Trumpspeak for _Let_s face it, I_m huge asshole._ѝ #__"	8/7/15 9:54		
No candidate mentioned	yes	Negative	0.618	Abortion	804	RT @Bipartisanism: A message to the #GOPDebate candidates: http://t.co/WFK5CmVgiN	8/7/15 9:54	"Holland, Michigan USA "	Eastern Time (US & Canada)
No candidate mentioned	yes	Negative	1	None of the above	224	RT @davidcicilline: This is the worst episode of The Apprentice that I've ever seen. #GOPDebate	8/7/15 9:54		
No candidate mentioned	yes	Neutral	0.6691	None of the above	18		8/7/15 9:54	Searcy	Central Time (US & Canada)
No candidate mentioned	yes	Negative	0.6239	None of the above	1	"RT @lolhayley: ""The purpose of the military is to kill people and break things."" - something an actual man running for president just said __"	8/7/15 9:54		Eastern Time (US & Canada)
No candidate mentioned	yes	Negative	0.6211	Healthcare (including Medicare)	0	Wondering if I could get the Republican Party to pay for my liver transplant after playing @mtaibbi #GOPDebate drinking game last night.	8/7/15 9:54	"Madison, NJ"	Eastern Time (US & Canada)
No candidate mentioned	yes	Positive	0.6667	None of the above	6	RT @BrandonDHowell: Great way to start Friday. #CarlyFiorina @CarlyFiorina #GOPDebate http://t.co/1ai9CuZ8bY	8/7/15 9:54		
Ted Cruz	yes	Positive	0.6977	None of the above	1449	"RT @tedcruz: If elected, on my first day as President, I'll rescind every illegal and unconstitutional executive order enacted by Pres. Oba__"	8/7/15 9:54	"Arrington, TN"	Eastern Time (US & Canada)
Donald Trump	yes	Neutral	1	None of the above	532	RT @Ronnie2K: Donald Trump during #GOPDebate be like... https://t.co/jCUirk1i1u	8/7/15 9:54		Pacific Time (US & Canada)
No candidate mentioned	yes	Neutral	0.6626	None of the above	23	RT @bruneski: Was upstairs putting the kids to bed. How many questions about climate change did I miss? #GOPDebate #GOPClownCar	8/7/15 9:54		Eastern Time (US & Canada)
No candidate mentioned	yes	Negative	0.6889	Abortion	0		8/7/15 9:54	The District. 	Quito
No candidate mentioned	yes	Negative	0.6629	FOX News or Moderators	61	RT @learjetter: Hey @Foxnews let #REPUBLICANS digest #GOPDebate before allowing crazy @DWStweets to TRASH OUR #GOP! @LadySandersfarm http:/__	8/7/15 9:54	Southwest USA	
Donald Trump	yes	Negative	1	None of the above	13	RT @TheBaxterBean: Watch Donald Trump Receive Enormous Applause for Horribly Misogynistic #GOPDebate Answer http://t.co/R4e8TpOtd5 http://t__	8/7/15 9:54	9/10th mile north Nowhere OK	
No candidate mentioned	yes	Neutral	1	None of the above	0	A few of my favorite #Twitter responses to the #GOPDebate last night: http://t.co/2IqcdrCdlm http://t.co/7TDMA3VLM8	8/7/15 9:54	"Seattle, WA"	Alaska
No candidate mentioned	yes	Positive	0.6591	FOX News or Moderators	0	"Even though she's a super conservative reporter, I actually like Megyn Kelly's interview style &amp; she did great at the #GOPDebate"	8/7/15 9:54	Stevens Point // DeKalb	Mountain Time (US & Canada)
No candidate mentioned	yes	Negative	0.6667	None of the above	839	RT @kingsthings: The #GOPdebate is not a debate at all. It's a series of 1 minute opportunities to avoid answering a question one candidate__	8/7/15 9:54	Los Angeles	
No candidate mentioned	yes	Positive	0.3474	None of the above	1	RT @MelissaGracey: Credit for this joke goes to someone else but it is funny! #GOPDebate http://t.co/iCreDSSplR	8/7/15 9:54		
No candidate mentioned	yes	Positive	1	None of the above	44	RT @Reince: Simply incredible. http://t.co/apXM8AO8jf Last night's #GOPDebate doubled the previous record for most-watched primary debate i__	8/7/15 9:54	"Boise, Idaho"	Mountain Time (US & Canada)
No candidate mentioned	yes	Negative	1	None of the above	1	"RT @KateThomas: This literally couldn't be more true for me. ""I Watched the #GOPDebate &amp; All I Got Was a Lousy Hangover"" http://t.co/cxch7X__"	8/7/15 9:54	"Washington, DC"	Eastern Time (US & Canada)
Donald Trump	yes	Negative	0.6659	None of the above	1	RT @fl_dreamer: Haha a little saas from @voxdotcom this morning towards @realDonaldTrump. #FactChecked #GOPDebate http://t.co/dAeCtmLlaj	8/7/15 9:54	191 Throckmorton St. Freehold	
Jeb Bush	yes	Neutral	0.3517	None of the above	1	"RT @TexasCruzn: RT @AllenWestRepub ""Dear @JebBush #GOPDebate #NotAMistake http://t.co/1z3VuFjZlw"""	8/7/15 9:54	TEXAS is the greatest state	Central Time (US & Canada)
No candidate mentioned	yes	Negative	1	None of the above	347	RT @zellieimani: What people saw in person vs what we saw on tv. #GOPDebate http://t.co/QlGsXRH5Hw	8/7/15 9:54	"Austin, Texas"	
Marco Rubio	yes	Negative	0.6734	LGBT issues	9	RT @TheBaxterBean: Marco Rubio Told To His Face He's 'Candidate Of Yesterday' For His Anti-Gay Bigotry http://t.co/a4EiuETTLf #GOPDebate ht__	8/7/15 9:54	"lib utopia, with unicorns"	Pacific Time (US & Canada)
Donald Trump	yes	Negative	0.6264	None of the above	4	"RT @carIisIe: None of them have made Trump look out of place or foolish yet. Think about that. When you're done crying, think about it agai__"	8/7/15 9:54	"Las Vegas, Nevada"	America/Los_Angeles
No candidate mentioned	yes	Neutral	0.6552	None of the above	1	"RT @akbarjenkins: Maybe the GOP just got Piven &amp; Cloward confused with Pinkard &amp; Bowden? ""She thinks I steal cars..."" @kevinbaker @KevinMKr__"	8/7/15 9:54		
No candidate mentioned	yes	Positive	1	None of the above	0	Had a great time watching the #GOPDebate last night http://t.co/qCmxMU8MLP	8/7/15 9:54		Mountain Time (US & Canada)
Donald Trump	yes	Negative	1	Women's Issues (not abortion though)	149	"RT @JRehling: #GOPDebate Donald Trump says that he doesn't have time for political correctness. How does calling women ""fat pigs"" save him __"	8/7/15 9:54		
No candidate mentioned	yes	Negative	1	None of the above	18	RT @theonlyadult: This is the @POTUS we have now. One of the people on TV now might be the next one. RIP everything. #GOPDebate http://t.co__	8/7/15 9:54		Mountain Time (US & Canada)
Donald Trump	yes	Neutral	0.7027	None of the above	0	I think @realDonaldTrump was caught by surprise by that first question and was never able to recover his equilibrium. #GOPDebate	8/7/15 9:54	Euro Swamp	Amsterdam
No candidate mentioned	yes	Negative	1	FOX News or Moderators	2	"RT @kirahoffy: ""@FoxNews web stream and mobile app fail during #GOPDebate_ѝ __ Why am I not surprised? http://t.co/tkpEsoOEZT"	8/7/15 9:54	Los Angeles	Pacific Time (US & Canada)
John Kasich	yes	Positive	1	Jobs and Economy	90	"RT @JohnKasich: John Kasich helped Ohioans create 350,000 new jobs. He can do it for America. #GOPDebate http://t.co/kBzfBJyp2C"	8/7/15 9:54		Central Time (US & Canada)
No candidate mentioned	yes	Positive	0.3297		0	Please help the Maryknoll Sisters replace windows in their convent https://t.co/fDgXG3VV13 #Catholic #gofundme #trcot #GOPDebate	8/7/15 9:54	USA	Eastern Time (US & Canada)
No candidate mentioned	yes	Neutral	0.6557	None of the above	156		8/7/15 9:54		Central Time (US & Canada)
Donald Trump	yes	Negative	0.6882	None of the above	0	Trump just said @JebBush is a true gentleman &amp; then they started violently 69ing. #GOPDebate	8/7/15 9:54	Earth	Mountain Time (US & Canada)
No candidate mentioned	yes	Negative	1	Women's Issues (not abortion though)	95	RT @cameronesposito: Ugh will these guys ever shut up about how much they respect women? #GOPDebate	8/7/15 9:53	PDX	Eastern Time (US & Canada)
Donald Trump	yes	Negative	1	None of the above	5	"RT @SnarkyDemo: What did the #GOPDebate teach us about a future President Trump?  America probably won_t be safe, except if we_re attacked __"	8/7/15 9:53		
No candidate mentioned	yes	Negative	1	Foreign Policy	18		8/7/15 9:53	Seattle 	
Marco Rubio	yes	Neutral	0.6545	None of the above	46	"RT @AmyMek: ""God has blessed the Republican party with many great candidates, @TheDemocrats can't even find one"" - @marcorubio #GOPDebate"	8/7/15 9:53	Arizona	Arizona
John Kasich	yes	Neutral	0.6615	Jobs and Economy	73	RT @JohnKasich: The miracle can happen to you. Grow opportunity and grow jobs. #GOPDebate http://t.co/lNqhDgTUdK	8/7/15 9:53		Central Time (US & Canada)
Scott Walker	yes	Negative	1	None of the above	51	RT @MattyIceAZ: Scott Walker can't even carry his own state. #GOPDebate	8/7/15 9:53	Delaware	Eastern Time (US & Canada)
No candidate mentioned	yes	Negative	1	Racial issues	409	"RT @XLNB: Black people, if you need anymore indication why Republicans hate us. Peep this. #GOPDebate http://t.co/Bh0ChsY5Eh"	8/7/15 9:53		Mountain Time (US & Canada)
No candidate mentioned	yes	Negative	1	None of the above	94	"RT @Smethanie: Sure, God told me I should run, and the Tooth Fairy agreed and all the Teletubbies voted yes, so here I am. #GOPDebate"	8/7/15 9:53	"Springfield, IL"	Central Time (US & Canada)
Donald Trump	yes	Negative	0.6705	FOX News or Moderators	2	RT @palmaceiahome1: Trump should have told Megyn Kelly to go to HELL! #FoxNews #GOPDebate	8/7/15 9:53	Las Vegas NV	
No candidate mentioned	yes	Negative	1	FOX News or Moderators	2	"RT @palmaceiahome1: Caller on the Rush Limbaugh show:""I have lost all respect for Fox News."" #FoxNews #GOPDebate"	8/7/15 9:53	Fla/Mich	Central Time (US & Canada)
Donald Trump	yes	Negative	0.6708	FOX News or Moderators	482	"RT @realDonaldTrump: ""@stinger_inc: @realDonaldTrump  @megynkelly's behaviour at the #GOPDebate was astonishingly biased."""	8/7/15 9:53	USA	Eastern Time (US & Canada)
Marco Rubio	yes	Positive	0.3523	Jobs and Economy	0	"Republicans Debate Economics: Rubio Wins, Bush Falters, Huckabee Exaggerates http://t.co/mOlloaQhWQ #GOPdebate #knowmorenotless @GPNAPLang"	8/7/15 9:53		Quito
No candidate mentioned	yes	Negative	0.6932	None of the above	4	RT @JamesViser: Huh. Half of Clinton's charity went to...the Clintons! http://t.co/BVwRoSgWAL #copolitics #Hillary2016 #StopHillary #UniteB__	8/7/15 9:53	10km from amsterdam	Amsterdam
Donald Trump	yes	Negative	0.6892	FOX News or Moderators	2	"RT @kraig4u: #GOPDebate  The order was to ""take out Trump"", but I wonder if FOX News was the one who took the ""order"" seriously. @HeidiL_RN"	8/7/15 9:53		
No candidate mentioned	yes	Neutral	0.6737	None of the above	15		8/7/15 9:53	"Philadelphia, PA"	Eastern Time (US & Canada)
Donald Trump	yes	Negative	0.6549	FOX News or Moderators	112	"RT @AmyMek: We all owe @realDonaldTrump a huge thank you 4 exposing to the world__@megynkelly, Chris Wallace, &amp; @FrankLuntz are true Rhinos!__"	8/7/15 9:53		Pacific Time (US & Canada)
Scott Walker	yes	Negative	0.6395	None of the above	224	RT @TheBaxterBean: Scott Walker Lies: Says WI Budget Has $535M Surplus (Actually Has $1.76B Deficit) http://t.co/VVMxzkxLKr #GOPDebate http__	8/7/15 9:53		Central Time (US & Canada)
No candidate mentioned	yes	Positive	0.3432	Abortion	0	You're right Last I heard @SenSanders was that only women could give birth to s child. Has that changed? #GOPDebate  https://t.co/5HkCefp1hf	8/7/15 9:53	EveryWhere	Eastern Time (US & Canada)
No candidate mentioned	yes	Neutral	0.6593	None of the above	1098	"RT @pattonoswalt: ""Have any of you received a word from God?"" = ""Are any of you soup-sandwich crazy?"" #GOPDebate"	8/7/15 9:53		Pacific Time (US & Canada)
No candidate mentioned	yes	Negative	1	FOX News or Moderators	52	"RT @FrankConniff: Fox News #GOPDebate interviewer to candidates: ""What's your take on these GOP talking points I'm feeding you?"""	8/7/15 9:53		Mountain Time (US & Canada)
No candidate mentioned	yes	Negative	0.6546		127	RT @LeslieMac: But the murder of black ppl is just fine- just not unborn black babies? #GOPLogic #GOPDebate	8/7/15 9:53		Eastern Time (US & Canada)
No candidate mentioned	yes	Neutral	0.7024	None of the above	3847	RT @HillaryClinton: Missing Jon Stewart already. #GOPdebate #JonVoyage -H	8/7/15 9:53	CA	Pacific Time (US & Canada)
Chris Christie	yes	Positive	1	None of the above	1	RT @CharlotteLaws: Chris Christie is really standing out at the #GOPdebate	8/7/15 9:53	"Los Angeles, CA"	
